epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,finetune,0.445028,0.807248,0.418086,0.850394,0.837367,0.838843,0.795699,0.804348,0.787234,0.79798,0.357143,0.040816,0.082353,0.787234,0.128205,0.040816,0.076923,1.054736,True,0.45,5e-05
2,finetune,0.446983,0.801796,0.406819,0.839895,0.827571,0.82805,0.782918,0.785714,0.780142,0.777778,0.357143,0.061224,0.082353,0.780142,0.115385,0.061224,0.076923,1.042222,True,0.45,3.75e-05
3,finetune,0.431545,0.808531,0.40462,0.839895,0.823183,0.826463,0.778182,0.798507,0.758865,0.757576,0.348214,0.040816,0.082353,0.758865,0.115385,0.040816,0.076923,1.034468,True,0.5,1.25e-05
