epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.678508,0.604167,0.653349,0.633333,0.58673,0.588289,0.452107,0.491667,0.41844,0.424242,0.384615,0.233333,0.133333,0.41844,0.371429,0.233333,0.122449,0.58673,True,0.45,0.001
2,head,0.652533,0.627976,0.643919,0.597436,0.623216,0.594876,0.562674,0.463303,0.716312,0.707071,0.75,0.333333,0.285714,0.716312,0.742857,0.333333,0.265306,0.623216,True,0.425,0.00085355
3,head,0.646211,0.628307,0.647824,0.658974,0.651414,0.643601,0.569579,0.52381,0.624113,0.606061,0.605769,0.1,0.209524,0.624113,0.557143,0.1,0.193878,0.651414,True,0.475,0.0005
4,head,0.640289,0.640542,0.627159,0.651282,0.659233,0.642828,0.587879,0.513228,0.687943,0.666667,0.711538,0.133333,0.228571,0.687943,0.671429,0.133333,0.214286,0.659233,True,0.425,0.00014645
