epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.713167,0.54244,0.657206,0.677305,0.677305,0.677203,0.682927,0.671233,0.695035,0.717172,0.382857,0.0,1.0,0.695035,0.340426,0.0,0.0,0.677305,True,0.5,0.001
2,head,0.636445,0.64191,0.610694,0.712766,0.712766,0.710491,0.736156,0.680723,0.801418,0.787879,0.457143,0.0,1.0,0.801418,0.375887,0.0,0.0,0.712766,True,0.55,0.00085355
3,head,0.613579,0.668435,0.578691,0.72695,0.72695,0.726947,0.725979,0.728571,0.723404,0.717172,0.348571,0.0,1.0,0.723404,0.269504,0.0,0.0,0.72695,True,0.475,0.0005
4,head,0.602441,0.68435,0.584217,0.741135,0.741135,0.740975,0.734545,0.753731,0.716312,0.707071,0.32,0.0,1.0,0.716312,0.234043,0.0,0.0,0.741135,True,0.575,0.00014645
