epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,finetune,0.442056,0.810493,0.417112,0.839895,0.830496,0.829041,0.785965,0.777778,0.794326,0.818182,0.348214,0.061224,0.094118,0.794326,0.128205,0.061224,0.089744,1.044343,True,0.4,2e-05
2,finetune,0.439578,0.804134,0.412713,0.839895,0.836348,0.830872,0.791809,0.763158,0.822695,0.848485,0.383929,0.061224,0.094118,0.822695,0.166667,0.061224,0.089744,1.048584,True,0.45,1.5e-05
3,finetune,0.432255,0.820032,0.411803,0.84252,0.836968,0.832992,0.793103,0.771812,0.815603,0.838384,0.366071,0.061224,0.094118,0.815603,0.141026,0.061224,0.089744,1.054415,True,0.425,5e-06
