epoch,stage,train_loss,train_acc,val_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.654935,0.620825,0.598139,0.682415,0.661613,0.660885,0.575439,0.569444,0.58156,0.545455,0.392857,0.244898,0.129412,0.58156,0.230769,0.244898,0.128205,0.661613,False,0.35,0.001
2,head,0.646763,0.639817,0.617663,0.682415,0.695257,0.676849,0.634441,0.552632,0.744681,0.727273,0.508929,0.285714,0.223529,0.744681,0.371795,0.285714,0.192308,0.695257,False,0.5,0.0005
