epoch,stage,train_loss,train_mix_loss,train_control_loss,train_acc,train_control_acc,train_control_balanced_acc,val_loss,val_mix_loss,val_control_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_control_head_acc,val_control_head_balanced_acc,val_control_head_recall,val_control_head_precision,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.912306,0.670799,0.688775,0.615914,0.568383,0.568666,0.799407,0.626865,0.629243,0.682415,0.685018,0.673193,0.618297,0.556818,0.695035,0.686869,0.410714,0.367347,0.341176,0.695035,0.25641,0.367347,0.333333,0.7,0.697025,0.748031,0.703704,0.685018,False,0.425,0.001
2,head,0.854477,0.632274,0.633492,0.652914,0.642746,0.641416,0.784322,0.614316,0.622421,0.695538,0.699823,0.686979,0.63522,0.570621,0.716312,0.707071,0.428571,0.346939,0.305882,0.716312,0.25641,0.346939,0.307692,0.675,0.690475,0.425197,0.915254,0.699823,False,0.45,0.0005
3,finetune,0.88374,0.651727,0.663063,0.6241,0.596984,0.601015,0.809665,0.635311,0.639078,0.650919,0.642465,0.636453,0.563934,0.52439,0.609929,0.59596,0.508929,0.306122,0.164706,0.609929,0.410256,0.306122,0.166667,0.658333,0.66302,0.582677,0.718447,0.642465,False,0.45,0.0002
4,finetune,0.844885,0.626562,0.624034,0.653897,0.656266,0.657743,0.756314,0.598434,0.606052,0.734908,0.682801,0.690729,0.57384,0.708333,0.48227,0.464646,0.285714,0.102041,0.047059,0.48227,0.141026,0.102041,0.051282,0.670833,0.683611,0.464567,0.842857,0.682801,False,0.375,0.0001
