epoch,stage,train_loss,train_mix_loss,train_control_loss,train_acc,train_control_acc,train_control_balanced_acc,val_loss,val_mix_loss,val_control_loss,val_acc,val_balanced_acc,val_macro_f1,val_mix_f1,val_mix_precision,val_mix_recall,val_mixed_group_positive_rate,val_control_group_positive_rate,val_breathy_group_positive_rate,val_falsetto_group_positive_rate,val_positive_mix_rate,val_control_negative_rate,val_breathy_negative_rate,val_falsetto_negative_rate,val_control_head_acc,val_control_head_balanced_acc,val_control_head_recall,val_control_head_precision,val_selection_score,val_threshold_constraints_ok,val_threshold,lr
1,head,0.912306,0.670799,0.688775,0.615914,0.568383,0.568666,0.799407,0.626865,0.629243,0.682415,0.685018,0.673193,0.618297,0.556818,0.695035,0.686869,0.410714,0.367347,0.341176,0.695035,0.25641,0.367347,0.333333,0.7,0.697025,0.748031,0.703704,0.685018,False,0.425,0.001
2,head,0.856654,0.634129,0.634114,0.654551,0.638586,0.637364,0.785425,0.61307,0.6341,0.67979,0.694637,0.674842,0.634731,0.549223,0.751773,0.747475,0.473214,0.367347,0.329412,0.751773,0.320513,0.367347,0.320513,0.645833,0.663403,0.362205,0.92,0.694637,False,0.45,0.00085355
3,head,0.83674,0.622346,0.613856,0.666667,0.660946,0.662225,0.747582,0.594441,0.566589,0.706037,0.703768,0.694834,0.636364,0.586826,0.695035,0.686869,0.401786,0.326531,0.270588,0.695035,0.230769,0.326531,0.269231,0.725,0.724549,0.732283,0.744,0.703768,False,0.4,0.0005
4,head,0.828928,0.616916,0.603758,0.669286,0.669787,0.669409,0.753405,0.594218,0.589847,0.713911,0.704167,0.699294,0.632997,0.602564,0.666667,0.646465,0.392857,0.306122,0.211765,0.666667,0.205128,0.306122,0.217949,0.695833,0.707721,0.503937,0.864865,0.704167,False,0.45,0.00014645
